Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
ERJ-3EKF1502V	Panasonic Electronic Components 	DK	P15.0KHDKR-ND	RES SMD 15K OHM 1% 1/10W 0603	0603
ERJ-3EKF2492V 	Panasonic Electronic Components 	DK	P24.9KHDKR-ND 	RES SMD 24.9K OHM 1% 1/10W 0603 	0603
ERJ-3EKF3002V	Panasonic Electronic Components 	DK	P30.0KHDKR-ND 	RES SMD 30K OHM 1% 1/10W 0603 	0603
ERJ-3EKF3922V	Panasonic Electronic Components 	DK	P39.2KHDKR-ND 	RES SMD 39.2K OHM 1% 1/10W 0603	0603
ERJ-3EKF4322V	Panasonic Electronic Components 	DK	P43.2KHDKR-ND 	RES SMD 43.2K OHM 1% 1/10W 0603	0603
ERJ-3EKF1003V	Panasonic Electronic Components 	DK	P100KHDKR-ND 	RES SMD 100K OHM 1% 1/10W 0603	0603
ERJ-3EKF3323V	Panasonic Electronic Components 	DK	P332KHDKR-ND	RES SMD 332K OHM 1% 1/10W 0603	0603
C1005X7R1H103K050BE	TDK Corporation 	DK	445-173623-6-ND 	CAP CER 10000PF 50V X7R 0402 	0402
CGA2B3X7R1V104K050BB	TDK Corporation 	DK	445-6901-6-ND	CAP CER 0.1UF 35V X7R 0402 	0402
C1608C0G1H030C080AA	TDK Corporation 	DK	445-5023-6-ND	CAP CER 3PF 50V C0G 0603	0603
CBR06C509CAGAC	KEMET	DK	399-13250-6-ND	CAP CER 5PF 250V C0G/NP0 0603	0603
CC0603CRNPO9BN5R6	Yageo	DK	311-1741-6-ND	CAP CER 5.6PF 50V NPO 0603	0603
C1608C0G2A150J080AA	TDK Corporation 	DK	445-14008-6-ND 	CAP CER 15PF 100V C0G 0603	0603
C1608C0G1H180J080AA	TDK Corporation 	DK	445-1272-6-ND	CAP CER 18PF 50V C0G 0603	0603
C1608C0G1H220J080AA	TDK Corporation 	DK	445-1273-6-ND	CAP CER 22PF 50V C0G 0603	0603
C1608C0G1H270J080AA	TDK Corporation 	DK	445-1274-6-ND	CAP CER 27PF 50V C0G 0603	0603
C1608C0G1H330J080AA	TDK Corporation 	DK	445-1275-6-ND	CAP CER 33PF 50V C0G 0603	0603
C1608NP01H820J080AA	TDK Corporation 	DK	445-14092-6-ND	CAP CER 82PF 50V NP0 0603 	0603
CC0603JRNPO9BN820	Yageo	DK	311-1068-6-ND	CAP CER 82PF 50V NPO 0603	0603
C1608C0G1H101J080AA	TDK Corporation 	DK	445-1281-6-ND	CAP CER 100PF 50V C0G 0603	0603
C1608C0G1H101J080AA	TDK Corporation 	DK	445-1281-6-ND	CAP CER 100PF 50V C0G 0603	0603
C1608C0G1H121J080AA	TDK Corporation 	DK	445-1282-6-ND	CAP CER 120PF 50V C0G 0603	0603
C1608C0G1H151J080AA	TDK Corporation 	DK	445-1283-6-ND	CAP CER 150PF 50V C0G 0603	0603
C0603C221G5GACTU	Kemet	DK	399-9033-6-ND	CAP CER 220PF 50V NP0 0603	0603
C1608NP01H271J080AA	TDK Corporation 	DK	445-14071-6-ND	CAP CER 270PF 50V NP0 0603 	0603
C1608NP01H471J080AA	TDK Corporation 	DK	445-14082-6-ND 	CAP CER 470PF 50V NP0 0603 	0603
C1608C0G1H102J080AA	TDK Corporation 	DK	445-1293-6-ND	CAP CER 1000PF 50V C0G 0603	0603
C1608X7R1H103K080AE	TDK Corporation 	DK	445-15925-6-ND	CAP CER 10000PF 50V X7R 0603 	0603
C1608X7R1E104K080AA	TDK Corporation 	DK	445-1316-6-ND	CAP CER 0.1UF 25V X7R 0603	0603
C1608NP01H271J080AA	TDK Corporation 	DK	445-14071-6-ND	CAP CER 270PF 50V NP0 0603	0603
TL720M05QKVURQ1	Texas Instruments	DK	296-24509-6-ND	IC REG LDO 5V 0.4A TO252-3	DPAK
298D476X0010P2T	Vishay Sprague	DK	718-1608-6-ND	CAP TANT 47UF 10V 20% 0805 	0805
298D106X0016R2T	Vishay Sprague	DK	718-1861-6-ND 	CAP TANT 10UF 16V 20% 0805 	0805
CC0805JRNPO9BN150	Yageo	DK	311-1101-6-ND	CAP CER 15PF 50V NPO 0805	0805
CC0805JRNPO9BN330	Yageo	DK	311-1105-6-ND	CAP CER 33PF 50V NPO 0805	0805
C0805C330F5GACTU	Kemet	DK	399-9221-6-ND	CAP CER 33PF 50V NP0 0805	0805
CC0805JRNPO9BN470	Yageo	DK	311-1107-6-ND	CAP CER 47PF 50V NPO 0805	0805
CC0805JRNPO9BN560	Yageo	DK	311-1108-6-ND	CAP CER 56PF 50V NPO 0805	0805
C0805C560F5GACTU	Kemet	DK	399-8106-6-ND	CAP CER 56PF 50V NP0 0805	0805
C0805C101G5GACTU	Kemet	DK	399-7977-6-ND	CAP CER 100PF 50V NP0 0805	0805
C0805C391K5GACTU	Kemet	DK	399-9234-2-ND	CAP CER 390PF 50V C0G/NP0 0805	0805
C2012C0G2A103J125AA	TDK Corporation 	DK	445-15275-6-ND	CAP CER 10000PF 100V C0G 0805	0805
744758310A	Wurth Electronics Inc	DK	732-3469-6-ND	FIXED IND 1UH 370MA 1.7 OHM SMD 	1008
744762233A	Wurth Electronics Inc	DK	732-1826-6-ND 	FIXED IND 330NH 500MA 900 MOHM 	1008
744762212A	Wurth Electronics Inc	DK	732-1821-6-ND	FIXED IND 120NH 800MA 200 MOHM	1008
744762210A	Wurth Electronics Inc	DK	732-1820-6-ND	FIXED IND 100NH 1A 180 MOHM SMD	1008
744762122A	Wurth Electronics Inc	DK	732-1812-6-ND	FIXED IND 22NH 1A 100 MOHM SMD	1008
744762139A	Wurth Electronics Inc	DK	732-1815-6-ND	FIXED IND 39NH 1A 100 MOHM SMD	1008
AISC-1008-R12G-T	Abracon LLC	DK	AISC-1008-R12G-TDKR-ND	FIXED IND 120NH 650MA 630 MOHM	1008
EL5220TIYZ-T7	Intersil	DK	EL5220TIYZ-T7DKR-ND	IC OPAMP VFB 8MHZ RRO 8MSOP	8-MSOP
1008CS-272XJLB	Coilcraft	Coilcraft	1008CS-272XJLB	RF chip inductor 2700nH	1008
1812SMS-R10JLB	Coilcraft	Coilcraft	1812SMS-R10JLB	RF inductor air core 5% tol	MIDISPRING
SN74LVC1G02DCKR	Texas Instruments	DK	296-11598-6-ND	IC GATE NOR 1CH 2-INP SC-70-5	SC-70-5
SN74LVC1G00DCKR	Texas Instruments	DK	296-9846-6-ND	IC GATE NAND 1CH 2-INP SC-70-5	SC-70-5
LTC2909CDDB-5#TRMPBF	Linear Technology	DK	LTC2909CDDB-5#TRMPBFDKR-ND	IC MONITOR PREC 5V 8-DFN	8-WFDFN Exposed Pad 
APHB1608LVBDSEKJ3C	Kingbright	DK	754-1953-6-ND	LED BLUE/RED 470NM 625NM 0603	0603
EPC8002	EPC	DK	917-1118-6-ND	TRANS GAN 65V 2.7A BUMPED DIE	Die 
744762168A	Wurth Electronics Inc	DK	732-1818-6-ND 	FIXED IND 68NH 1A 150 MOHM SMD 	1008
AISC-0805-R039G-T	Abracon LLC	DK	AISC-0805-R039G-TDKR-ND	FIXED IND 39NH 500MA 290 MOHM	0805
ERJ-2RKF1002X	Panasonic Electronic Components 	DK	P10.0KLDKR-ND	RES SMD 10K OHM 1% 1/10W 0402 	0402
ERJ-2RKF1913X	Panasonic Electronic Components 	DK	P191KLDKR-ND 	RES SMD 191K OHM 1% 1/10W 0402	0402
SN74LVC1G08DCKR	Texas Instruments	DK	296-11602-6-ND	IC GATE AND 1CH 2-INP SC-70-5	SC-70-5
ADR5041BRTZ-R2	Analog Devices Inc.	DK	ADR5041BRTZ-R2DKR-ND	IC VREF SHUNT 2.5V SOT23-3 	SOT-23-3
AD8418BRMZ	Analog Devices Inc.	DK	AD8418BRMZ-ND	IC OPAMP CURR SENSE 10KHZ 8MSOP	8-MSOP
AD8417BRMZ	Analog Devices Inc.	DK	AD8417BRMZ-ND	IC OPAMP CURR SENSE 8MSOP 	8-MSOP
3214J-1-203E	Bourns Inc 	DK	3214J-203EDKR-ND 	TRIMMER 20K OHM 0.25W SMD 	J Lead
WSLP0805R0100FEA18	Vishay Dale	DK	541-2530-6-ND	RES SMD 0.01 OHM 1% 1W 0805 	0805
APTD1608LSYCK/J3-PF	Kingbright	DK	754-1947-6-ND	LED YELLOW CLEAR 0603 SMD	0603
VJ1812Y474KBBAT4X	Vishay Vitramon 	DK	720-1102-6-ND	CAP CER 0.47UF 100V X7R 1812	1812
VJ2220Y105KBBAT4X	Vishay Vitramon 	DK	720-1094-6-ND	CAP CER 1UF 100V X7R 2220	2220
VJ1825Y105KBBAT4X	Vishay Vitramon 	DK	720-1098-6-ND	CAP CER 1UF 100V X7R 1825	1825
VJ1812Y105KBBAT4X	Vishay Vitramon 	DK	720-1105-6-ND	CAP CER 1UF 100V X7R 1812	1812
VJ1206Y105KXJAT	Vishay Vitramon 	DK	720-1384-6-ND	CAP CER 1UF 16V X7R 1206	1206
VJ0805Y104KXAMT	Vishay Vitramon 	DK	720-1365-6-ND	CAP CER 0.1UF 50V X7R 0805	0805
VJ0402Y103KXXAC	Vishay Vitramon 	DK	720-1362-6-ND	CAP CER 10000PF 25V X7R 0402	0402
VJ0402D560JXAAJ	Vishay Vitramon 	DK	720-1293-6-ND 	CAP CER 56PF 50V NP0 0402 	0402
VJ0603G105KXYCW1BC	Vishay Vitramon 	DK	720-1386-6-ND	CAP CER 1UF 6.3V X5R 0603 	0603
BSS138BKW,115	NXP USA Inc.	DK	568-10470-6-ND	MOSFET N-CH 60V SOT323 	SOT-323
BSS209PWH6327XTSA1	Infineon Technologies	DK	BSS209PWH6327XTSA1DKR-ND	MOSFET P-CH 20V 0.63A SOT-323	SOT-323 
VJ1206Y104KXBMT	Vishay Vitramon	DK	720-1361-6-ND	CAP CER 0.1UF 100V X7R 1206	1206
BSS123	Fairchild Semiconductor	DK	BSS123NDKR-ND	MOSFET N-CH 100V 170MA SOT-23 	SOT-23-3
CRCW08053R00FKEA	Vishay Dale	DK	541-3.00CCDKR-ND 	RES SMD 3 OHM 1% 1/8W 0805	0805
CRCW08052R00FKEA	Vishay Dale	DK	541-2.00CCDKR-ND 	RES SMD 2 OHM 1% 1/8W 0805 	0805
INA200AIDGKR	Texas Instruments	DK	296-21331-6-ND	IC CURRENT MONITOR 3.5% 8VSSOP 	8-VSSOP
INA213AIDCKR	Texas Instruments	DK	296-26072-6-ND	IC CURRENT MONITOR 1% SC70-6	SC-70-6
WSL0805R0200FEA18	Vishay Dale	DK	WSLB-.02DKR-ND	RES SMD 0.02 OHM 1% 1/4W 0805 	0805
7-1624113-0	TE Connectivity Passive Product 	DK	A103772DKR-ND 	1.8µH Unshielded Wirewound Inductor 170mA 2.5 Ohm Max	0805 
ERJ-2RKF1913X	Panasonic Electronic Components 	DK	P191KLDKR-ND	RES SMD 191K OHM 1% 1/10W 0402 	0402
ERJ-2RKF1003X	Panasonic Electronic Components 	DK	P100KLDKR-ND	RES SMD 100K OHM 1% 1/10W 0402	0402
ERJ-2RKF1002X	Panasonic Electronic Components 	DK	P10.0KLDKR-ND	RES SMD 10K OHM 1% 1/10W 0402 	0402
ERJ-2RKF2001X	Panasonic Electronic Components 	DK	P2.00KLDKR-ND 	RES SMD 2K OHM 1% 1/10W 0402 	0402
ERJ-2RKF1001X	Panasonic Electronic Components 	DK	P1.00KLDKR-ND	RES SMD 1K OHM 1% 1/10W 0402	0402
ERJ-2RKF1301X	Panasonic Electronic Components 	DK	P1.30KLDKR-ND	RES SMD 1.3K OHM 1% 1/10W 0402	0402
ERJ-2RKF10R0X	Panasonic Electronic Components 	DK	P10.0LDKR-ND	RES SMD 10 OHM 1% 1/10W 0402 	0402
ERJ-2GE0R00X	Panasonic Electronic Components 	DK	P0.0JDKR-ND	RES SMD 0.0OHM JUMPER 1/10W 0402	0402
BZG03C56TR	Vishay Semiconductor Diodes Division	DK	BZG03C56GIDKR-ND	Zener Diode 56V 1.25W Surface Mount DO-214AC	DO-214AC
C1608NP01H560J080AA	TDK Corporation 	DK	445-14085-6-ND 	56pF ±5% 50V Ceramic Capacitor C0G, NP0 0603	0603
FDN302P	Fairchild Semiconductor 	DK	FDN302PDKR-ND	MOSFET P-CH 20V 2.4A SSOT3	SuperSOT-3
VJ0805Y223KXBBC31	Vishay Vitramon 	DK	720-1268-6-ND	CAP CER 0.022UF 100V X7R 0805	0805
36502A1R8JTDG	TE Connectivity Passive Product 	DK	A103772DKR-ND 	1.8µH Unshielded Wirewound Inductor 170mA 2.5 Ohm 	0805
3413.0216.22	Schurter Inc	DK	486-1144-6-ND	FUSE BRD MNT 1A 32VAC 63VDC 1206	1206
3413.0221.22	Schurter Inc	DK	486-1149-6-ND	FUSE BOARD MNT 3.15A 32VAC 63VDC	1206
LQW2BAS39NJ00L	Murata Electronics North America	DK	490-5657-6-ND	FIXED IND 39NH 500MA 290 MOHM	0805
C1608C0G1H103K080AA	TDK Corporation 	DK	445-13970-6-ND	CAP CER 10000PF 50V C0G 0603 	0603
C1608C0G2A270J080AA	TDK Corporation 	DK	445-14015-6-ND 	CAP CER 27PF 100V C0G 0603	0603
ERJ-PA3F1000V	Panasonic Electronic Components	DK	P100BYDKR-ND	RES SMD 100 OHM 1% 1/4W 0603	0603
ERJ-PA3F1001V	Panasonic Electronic Components	DK	P1.0KBYDKR-ND	RES SMD 1K OHM 1% 1/4W 0603	0603
ERJ-PA3F1002V	Panasonic Electronic Components	DK	P10KBYDKR-ND	RES SMD 10K OHM 1% 1/4W 0603	0603
C2012C0G2A103K125AA	TDK Corporation 	DK	445-15276-6-ND	CAP CER 10000PF 100V C0G 0805 	0805
DMG2305UX-13	Diodes Incorporated	DK	DMG2305UX-13DIDKR-ND	MOSFET P-CH 20V 4.2A SOT23	SOT23
VJ2220Y105KBBAT4X	Vishay / Vitramon	MOUSER 	77-VJ2220Y105KBBAT4X	Multilayer Ceramic Capacitors MLCC - SMD/SMT 1uF 100volt 10%	2220
LTC1992CMS8#PBF	Linear Technology	DK	LTC1992CMS8#PBF-ND	IC OPAMP DIFF 3.2MHZ RRO 8MSOP	8-MSOP
